,subject_id,accuracy,trial_accuracy,channel,no_trials,avg_peak_latency,avg_peak_amplitude,condition,avg_response_time,mean_amplitude
0,27,89.0,67.5,Pz,200,0.33728125,1.306731420474003e-05,target,0.3516037037037058,7.87405191565885e-06
1,27,89.0,94.375,Pz,200,0.33728125,9.882575463591036e-06,distractor,0.3040715231788072,4.8643174217162194e-06
2,4,95.0,75.0,Pz,200,0.31775,1.778847283849194e-05,target,0.3089099999999994,1.5971028686982047e-05
3,4,95.0,100.0,Pz,200,0.32946875,1.2482595234525257e-05,distractor,0.2675725000000021,1.0186961789228221e-05
4,22,91.5,67.5,Pz,200,0.44665625,1.732385204577527e-05,target,0.4064444444444482,1.4243458503124178e-05
5,22,91.5,97.5,Pz,200,0.4193125,1.4380856715934598e-05,distractor,0.31973141025640983,9.262431828661613e-06
6,2,99.0,97.5,Pz,200,0.40759375,3.9624528563024944e-05,target,0.5196230769230754,3.157007497131091e-05
7,2,99.0,99.375,Pz,200,0.3724375,1.820116563224331e-05,distractor,0.4143503144654098,1.2427031932088734e-05
8,19,99.0,97.5,Pz,200,0.41540625,2.3801545391378887e-05,target,0.39883589743589837,1.824912400635426e-05
9,19,99.0,99.375,Pz,200,0.34509375,1.5633437402572073e-05,distractor,0.3867440251572313,1.1869829923358585e-05
10,32,96.0,87.5,Pz,200,0.4115,1.8207246289449718e-05,target,0.44720000000000115,1.3542197356390282e-05
11,32,96.0,98.125,Pz,200,0.42321875,8.985023300241073e-06,distractor,0.3729140127388528,5.54163044900882e-06
12,23,98.5,92.5,Pz,200,0.44665625,2.129084622306337e-05,target,0.5125837837837839,1.765659452795253e-05
13,23,98.5,100.0,Pz,200,0.4193125,7.379151368898835e-06,distractor,0.45498437500000144,7.1210611630079165e-06
14,18,95.5,82.5,Pz,200,0.44665625,1.3646577054302804e-05,target,0.36951212121211463,1.2247636354422798e-05
15,18,95.5,98.75,Pz,200,0.40759375,5.102632412784716e-06,distractor,0.34783544303797514,2.834802398204319e-06
16,38,95.5,85.0,Pz,200,0.31775,1.7522200074198886e-05,target,0.407667647058825,1.097444795814496e-05
17,38,95.5,98.125,Pz,200,0.3099375,1.2264429365981373e-05,distractor,0.3234458598726112,4.549884678987598e-06
18,20,98.5,95.0,Pz,200,0.4036875,8.153555038818218e-06,target,0.3565026315789455,6.488561303197309e-06
19,20,98.5,99.375,Pz,200,0.44665625,6.448546547268741e-06,distractor,0.32568176100628893,5.623783666469523e-06
20,3,91.5,82.5,Pz,200,0.34509375,2.234472797958183e-05,target,0.4003090909090962,1.6986532017468166e-05
21,3,91.5,93.75,Pz,200,0.39196875,1.0179844702714582e-05,distractor,0.4325226666666676,5.953764414793854e-06
22,9,92.5,80.0,Pz,200,0.3880625,1.110836166324014e-05,target,0.44952499999999884,7.709959363581454e-06
23,9,92.5,95.625,Pz,200,0.40759375,7.6705583422786e-06,distractor,0.4722718954248364,5.852058121852367e-06
24,35,87.0,52.5,Pz,200,0.3411875,1.790078426082058e-05,target,0.3089714285714258,1.4312714534607134e-05
25,35,87.0,95.625,Pz,200,0.32946875,1.3624089314892408e-05,distractor,0.28103856209150313,8.072051692754244e-06
26,31,99.0,100.0,Pz,200,0.3411875,1.1689935064684034e-05,target,0.3660924999999968,9.076722953229933e-06
27,31,99.0,98.75,Pz,200,0.34509375,3.3926821080408232e-06,distractor,0.3221164556962022,2.3453424751522498e-06
28,40,99.0,95.0,Pz,200,0.38025,2.278097843569753e-05,target,0.44051578947368963,1.8394559066823716e-05
29,40,99.0,100.0,Pz,200,0.4036875,9.2274659398435e-06,distractor,0.36989312500000143,5.3866678723503014e-06
30,12,93.5,75.0,Pz,200,0.3411875,1.785873362074896e-05,target,0.3589566666666624,1.2720874784136866e-05
31,12,93.5,98.125,Pz,200,0.33728125,1.12004321696036e-05,distractor,0.3179872611464975,5.166510808663567e-06
32,5,98.0,95.0,Pz,200,0.41540625,9.970803319692904e-06,target,0.6020026315789455,5.1407976444509725e-06
33,5,98.0,98.75,Pz,200,0.427125,3.4197759806580624e-06,distractor,0.594582278481014,2.164138862994068e-06
34,28,96.5,92.5,Pz,200,0.44665625,8.367811449474001e-06,target,0.39867027027027097,7.773477515515436e-06
35,28,96.5,97.5,Pz,200,0.31384375,2.686419460402788e-06,distractor,0.42785576923077134,2.148458588662528e-06
36,37,97.5,92.5,Pz,200,0.4036875,2.173446029663069e-05,target,0.3973459459459508,1.7135211811121794e-05
37,37,97.5,98.75,Pz,200,0.30603125,6.324160253139793e-06,distractor,0.356644303797469,3.73328671397938e-06
38,1,97.5,87.5,Pz,200,0.4036875,1.4984072914302218e-05,target,0.5597400000000011,1.1340598036775844e-05
39,1,97.5,100.0,Pz,200,0.2943125,8.979266849239532e-06,distractor,0.4337937500000013,4.43637734808044e-06
40,24,97.5,87.5,Pz,200,0.39196875,1.961705089913248e-05,target,0.4128399999999975,1.2316894330168373e-05
41,24,97.5,100.0,Pz,200,0.3880625,9.364111164141007e-06,distractor,0.36599812499999973,4.492139064752022e-06
42,17,100.0,100.0,Pz,200,0.40759375,1.0511169659613672e-05,target,0.47758750000000216,7.75756399769657e-06
43,17,100.0,100.0,Pz,200,0.4036875,3.81748388991924e-06,distractor,0.5007399999999999,3.8160666195014155e-06
44,33,99.5,100.0,Pz,200,0.349,1.1960745265918959e-05,target,0.41880749999999994,5.653800917546205e-06
45,33,99.5,99.375,Pz,200,0.349,3.678356374636425e-06,distractor,0.4031635220125786,2.312365276499119e-06
46,21,96.5,87.5,Pz,200,0.40759375,1.2012941959297846e-05,target,0.4151742857142876,9.574791584386718e-06
47,21,96.5,98.75,Pz,200,0.28259375,5.703090468042236e-06,distractor,0.35780632911392624,4.196969800715203e-06
48,13,94.0,75.0,Pz,200,0.40759375,1.3075451814244108e-05,target,0.33887000000000017,1.1322393804450022e-05
49,13,94.0,98.75,Pz,200,0.40759375,9.98645137087852e-06,distractor,0.26669050632911334,7.604323308535873e-06
50,11,99.5,97.5,Pz,200,0.32165625,1.892721771696793e-05,target,0.4064666666666682,1.4836934563997911e-05
51,11,99.5,100.0,Pz,200,0.31775,1.354440116175478e-05,distractor,0.37906250000000036,1.029507402609989e-05
52,25,99.5,97.5,Pz,200,0.43103125,2.24683827417168e-05,target,0.4739974358974401,1.8915039253370043e-05
53,25,99.5,100.0,Pz,200,0.44665625,1.235140022361356e-05,distractor,0.4372068750000011,9.029723230933334e-06
54,29,94.0,92.5,Pz,200,0.37634375,2.1302737173834705e-05,target,0.48543783783783895,1.5648920886201082e-05
55,29,94.0,94.375,Pz,200,0.38025,7.102521047808412e-06,distractor,0.42174966887417126,3.2425827954374917e-06
56,30,96.5,82.5,Pz,200,0.44665625,2.631187951593645e-05,target,0.3568757575757546,2.3187066001897422e-05
57,30,96.5,100.0,Pz,200,0.39978125,2.131627343342258e-05,distractor,0.26095749999999923,1.539570656002271e-05
58,26,99.0,95.0,Pz,200,0.4115,2.1393224329968613e-05,target,0.35523421052631593,1.4550992491289594e-05
59,26,99.0,100.0,Pz,200,0.41540625,1.4798679081623985e-05,distractor,0.33017499999999905,9.074549010594204e-06
60,34,98.0,90.0,Pz,200,0.44665625,1.5084066988800837e-05,target,0.4809555555555583,1.3071907828886706e-05
61,34,98.0,100.0,Pz,200,0.2786875,6.384896780901596e-06,distractor,0.3881349999999988,2.9236691334678356e-06
62,14,91.5,75.0,Pz,200,0.44665625,9.812587337603801e-06,target,0.4892066666666655,6.787456301694888e-06
63,14,91.5,95.625,Pz,200,0.364625,7.031301209185359e-06,distractor,0.3782568627450962,4.61685704859238e-06
64,8,80.5,85.0,Pz,200,0.38025,1.4084426889741209e-05,target,0.3836088235294105,1.2181019161320868e-05
65,8,80.5,79.375,Pz,200,0.44665625,7.797343782046679e-06,distractor,0.3228968503936984,6.405644939830005e-06
66,7,97.0,85.0,Pz,200,0.302125,1.8267432928644705e-05,target,0.34300882352941137,1.1413493676158042e-05
67,7,97.0,100.0,Pz,200,0.28259375,1.0626671428238786e-05,distractor,0.3058418750000025,7.057277241126869e-06
68,15,99.0,95.0,Pz,200,0.3568125,8.80721051043907e-06,target,0.386236842105267,6.42283262861121e-06
69,15,99.0,100.0,Pz,200,0.3411875,7.589622312548132e-06,distractor,0.36808750000000123,4.483180864553774e-06
70,16,99.5,97.5,Pz,200,0.39196875,2.1934947809258948e-05,target,0.44797692307692455,1.135447835876956e-05
71,16,99.5,100.0,Pz,200,0.25525,1.1870032214955699e-05,distractor,0.33763749999999976,4.597331794275509e-06
72,39,99.0,95.0,Pz,200,0.427125,1.4549485654827267e-05,target,0.4945947368421028,1.0788366323539024e-05
73,39,99.0,100.0,Pz,200,0.2865,6.297360254061291e-06,distractor,0.4775137500000001,3.355422200487594e-06
74,36,97.0,95.0,Pz,200,0.41540625,5.15341405849057e-06,target,0.4545499999999966,3.0140336111947785e-06
75,36,97.0,97.5,Pz,200,0.35290625,2.0254801271475065e-06,distractor,0.41341217948717995,-7.252683250388056e-07
